Force,Displacement,Velocity
180.09,-0.01203359,0.35433
177.67,-0.01198477,0.37874
180.09,-0.01198477,0.4178
180.09,-0.01193594,0.45198
177.67,-0.01193594,0.46663
177.67,-0.01188711,0.4764
177.67,-0.01183828,0.48616
180.09,-0.01183828,0.50081
182.51,-0.01183828,0.52523
182.51,-0.01178945,0.54964
184.93,-0.01174063,0.55941
182.51,-0.0116918,0.55452
182.51,-0.0116918,0.53987
180.09,-0.01164297,0.53499
180.09,-0.01159414,0.55452
180.09,-0.01154531,0.56917
182.51,-0.01154531,0.58382
182.51,-0.01149648,0.59847
182.51,-0.01144766,0.62288
184.93,-0.01139883,0.66683
187.34,-0.01139883,0.71077
187.34,-0.01135,0.74007
187.34,-0.01130117,0.74984
187.34,-0.01125234,0.74984
187.34,-0.01115469,0.75472
189.76,-0.01115469,0.77913
192.18,-0.01110586,0.80355
189.76,-0.01105703,0.81331
189.76,-0.0110082,0.80843
192.18,-0.01095938,0.80355
194.6,-0.01091055,0.8182
197.02,-0.01086172,0.84261
194.6,-0.01081289,0.85726
194.6,-0.01071523,0.85726
194.6,-0.01066641,0.84749
194.6,-0.01061758,0.86702
197.02,-0.01056875,0.9012
197.02,-0.01051992,0.94027
199.43,-0.01042227,0.9598
199.43,-0.01037344,0.96956
199.43,-0.01032461,0.98421
201.85,-0.01027578,0.99886
201.85,-0.01022695,1.01839
201.85,-0.0101293,1.03792
201.85,-0.01008047,1.04769
204.27,-0.01003164,1.05745
204.27,-0.00993398,1.05745
204.27,-0.00988516,1.06234
206.69,-0.00983633,1.08187
206.69,-0.00973867,1.09652
206.69,-0.00968984,1.11605
206.69,-0.00959219,1.12581
206.69,-0.00954336,1.13558
209.11,-0.0094457,1.15023
209.11,-0.00939688,1.17464
209.11,-0.00934805,1.19417
211.52,-0.00925039,1.2137
211.52,-0.00915273,1.22835
211.52,-0.00910391,1.243
211.52,-0.00905508,1.25765
211.52,-0.00895742,1.26741
213.94,-0.00885977,1.27718
213.94,-0.00876211,1.28695
213.94,-0.00871328,1.30159
213.94,-0.00861563,1.31136
213.94,-0.0085668,1.32113
216.36,-0.00846914,1.34066
216.36,-0.00837148,1.36019
216.36,-0.00832266,1.36995
216.36,-0.008225,1.37484
218.78,-0.00812734,1.37972
218.78,-0.00802969,1.38948
218.78,-0.00798086,1.40902
221.2,-0.0078832,1.41878
221.2,-0.00778555,1.42855
221.2,-0.00768789,1.43343
221.2,-0.00763906,1.44808
221.2,-0.00754141,1.47249
223.61,-0.00744375,1.49202
223.61,-0.00734609,1.50667
223.61,-0.00724844,1.51155
223.61,-0.00715078,1.51644
223.61,-0.00705312,1.5262
226.03,-0.0070043,1.54573
226.03,-0.00685781,1.57015
226.03,-0.00676016,1.57991
226.03,-0.00671133,1.58968
226.03,-0.00661367,1.59456
228.45,-0.00646719,1.61409
228.45,-0.00641836,1.63851
230.87,-0.0063207,1.64827
228.45,-0.00622305,1.64339
228.45,-0.00612539,1.63851
228.45,-0.00597891,1.63363
230.87,-0.00588125,1.64827
230.87,-0.00583242,1.66292
230.87,-0.00568594,1.67757
230.87,-0.00558828,1.67269
233.29,-0.00549062,1.67269
233.29,-0.00539297,1.67269
233.29,-0.00529531,1.69222
235.7,-0.00519766,1.71663
235.7,-0.00505117,1.73616
235.7,-0.00500234,1.74105
233.29,-0.00485586,1.74105
235.7,-0.0047582,1.7557
235.7,-0.00466055,1.78011
238.12,-0.00451406,1.79964
238.12,-0.00441641,1.80452
238.12,-0.00431875,1.79476
238.12,-0.00422109,1.79476
238.12,-0.00407461,1.79964
240.54,-0.00397695,1.81429
240.54,-0.0038793,1.82405
240.54,-0.00378164,1.82405
238.12,-0.00368398,1.82405
240.54,-0.0035375,1.82405
240.54,-0.00343984,1.8387
242.96,-0.00334219,1.86312
242.96,-0.00324453,1.87777
242.96,-0.00309805,1.87777
240.54,-0.00295156,1.868
242.96,-0.00285391,1.86312
242.96,-0.00275625,1.86312
242.96,-0.00265859,1.87288
242.96,-0.00251211,1.87288
242.96,-0.00241445,1.86312
242.96,-0.0023168,1.86312
242.96,-0.00217031,1.87288
245.38,-0.00202383,1.8973
245.38,-0.00192617,1.91683
247.79,-0.00182852,1.92659
245.38,-0.00173086,1.92659
245.38,-0.00158437,1.92659
247.79,-0.00148672,1.93636
247.79,-0.00134023,1.93636
247.79,-0.00124258,1.93148
247.79,-0.00114492,1.92171
245.38,-0.00099844,1.91195
247.79,-0.00085195,1.91195
250.21,-0.0007543,1.92659
247.79,-0.00065664,1.93636
247.79,-0.00055898,1.94124
247.79,-0.0004125,1.93148
247.79,-0.00026602,1.92659
250.21,-0.00016836,1.93636
252.63,-0.0000707,1.95101
250.21,0.00007578,1.96077
250.21,0.00017344,1.95101
250.21,0.00027109,1.93148
252.63,0.00041758,1.92659
252.63,0.00051523,1.93636
255.05,0.00061289,1.94613
252.63,0.00075938,1.93636
252.63,0.00085703,1.91683
252.63,0.00100352,1.90706
255.05,0.00110117,1.91683
255.05,0.00119883,1.92171
255.05,0.00134531,1.91683
255.05,0.00144297,1.90218
255.05,0.00154063,1.89241
257.47,0.00168711,1.90706
257.47,0.00178477,1.93148
257.47,0.00188242,1.94613
255.05,0.00198008,1.94124
255.05,0.00212656,1.91683
255.05,0.00222422,1.8973
257.47,0.0023707,1.8973
257.47,0.00246836,1.90706
257.47,0.00256602,1.89241
255.05,0.00266367,1.86312
255.05,0.00281016,1.83382
257.47,0.00295664,1.82894
257.47,0.00300547,1.85823
257.47,0.00315195,1.87777
255.05,0.00324961,1.87288
255.05,0.00339609,1.84847
255.05,0.00349375,1.83382
255.05,0.00359141,1.84359
257.47,0.00373789,1.86312
257.47,0.00383555,1.868
255.05,0.0039332,1.84359
255.05,0.00407969,1.81429
255.05,0.00412852,1.79964
255.05,0.004275,1.79476
255.05,0.00437266,1.79476
255.05,0.00447031,1.78499
252.63,0.00456797,1.75081
252.63,0.00471445,1.72152
252.63,0.00481211,1.71663
255.05,0.00495859,1.73616
255.05,0.00505625,1.7557
252.63,0.00515391,1.76058
252.63,0.00525156,1.7557
252.63,0.00534922,1.7557
255.05,0.00544688,1.77034
255.05,0.00554453,1.77523
252.63,0.00569102,1.7557
252.63,0.00578867,1.71175
252.63,0.00588633,1.67269
252.63,0.00598398,1.64827
252.63,0.00603281,1.63851
252.63,0.0061793,1.63363
252.63,0.00627695,1.61409
252.63,0.00637461,1.59945
250.21,0.00647227,1.59456
250.21,0.00656992,1.61409
252.63,0.00671641,1.64339
252.63,0.00681406,1.66292
250.21,0.00686289,1.65804
250.21,0.00696055,1.63851
250.21,0.0070582,1.61409
250.21,0.00715586,1.58968
252.63,0.00725352,1.57015
250.21,0.00735117,1.54085
247.79,0.00744883,1.51155
247.79,0.00754648,1.47738
247.79,0.00764414,1.45296
250.21,0.00769297,1.44808
247.79,0.00779063,1.45296
250.21,0.00788828,1.46273
247.79,0.00798594,1.46761
247.79,0.00808359,1.47249
247.79,0.00818125,1.47249
247.79,0.00823008,1.47249
247.79,0.00832773,1.46761
247.79,0.00842539,1.45296
247.79,0.00852305,1.42366
245.38,0.00857187,1.38948
245.38,0.00866953,1.36995
247.79,0.00876719,1.3553
247.79,0.00881602,1.34066
245.38,0.00891367,1.32601
242.96,0.00901133,1.30648
242.96,0.00910898,1.29671
245.38,0.00915781,1.29671
245.38,0.00925547,1.31624
245.38,0.0093043,1.32113
242.96,0.00940195,1.31136
242.96,0.00945078,1.28695
242.96,0.00954844,1.26253
245.38,0.00959727,1.25277
242.96,0.00969492,1.243
242.96,0.00974375,1.21859
240.54,0.00984141,1.17952
240.54,0.00989023,1.14534
242.96,0.00998789,1.1307
242.96,0.01003672,1.13558
240.54,0.01013437,1.13558
240.54,0.0101832,1.12093
240.54,0.01023203,1.10628
240.54,0.01032969,1.1014
240.54,0.01037852,1.10628
240.54,0.01047617,1.10628
238.12,0.010525,1.09163
238.12,0.01057383,1.06722
238.12,0.01062266,1.03792
238.12,0.01072031,1.01351
238.12,0.01076914,0.99398
238.12,0.01081797,0.96956
235.7,0.0108668,0.94027
235.7,0.01096445,0.92562
235.7,0.01101328,0.92073
235.7,0.01106211,0.92073
233.29,0.01111094,0.91585
233.29,0.01115977,0.91097
233.29,0.01120859,0.9012
233.29,0.01125742,0.89144
233.29,0.01130625,0.88167
233.29,0.01135508,0.86702
233.29,0.01140391,0.85237
233.29,0.01145273,0.82796
230.87,0.01150156,0.80355
230.87,0.01155039,0.77425
228.45,0.01159922,0.74495
228.45,0.01164805,0.72542
230.87,0.01169687,0.71566
228.45,0.0117457,0.70101
228.45,0.01179453,0.68636
226.03,0.01184336,0.67659
226.03,0.01189219,0.66683
228.45,0.01189219,0.66195
226.03,0.01194102,0.65218
223.61,0.01198984,0.63753
221.2,0.01203867,0.61312
221.2,0.0120875,0.5887
223.61,0.0120875,0.56917
221.2,0.01213633,0.54476
218.78,0.01213633,0.52523
218.78,0.01218516,0.50081
218.78,0.01223398,0.48128
218.78,0.01228281,0.46663
218.78,0.01228281,0.45687
216.36,0.01233164,0.4471
216.36,0.01233164,0.43734
213.94,0.01233164,0.42269
211.52,0.01238047,0.40316
211.52,0.01238047,0.39339
211.52,0.01247812,0.36898
211.52,0.0124293,0.34456
209.11,0.01247812,0.32503
206.69,0.01247812,0.3055
206.69,0.01247812,0.29085
206.69,0.01252695,0.27132
204.27,0.01252695,0.25179
201.85,0.01252695,0.22738
199.43,0.01257578,0.21273
197.02,0.01257578,0.19808
199.43,0.01257578,0.18831
197.02,0.01257578,0.17366
194.6,0.01257578,0.15902
189.76,0.01262461,0.13948
187.34,0.01262461,0.11507
184.93,0.01262461,0.09554
182.51,0.01262461,0.08089
180.09,0.01262461,0.06624
175.25,0.01262461,0.04671
168,0.01262461,0.02718
163.16,0.01262461,0.01253
158.33,0.01262461,0.00277
151.07,0.01262461,-0.01188
143.82,0.01262461,-0.02653
131.73,0.01262461,-0.04606
114.81,0.01262461,-0.06071
93.04,0.01262461,-0.07536
73.7,0.01262461,-0.08024
56.77,0.01262461,-0.09001
37.43,0.01262461,-0.10954
18.09,0.01257578,-0.13395
1.16,0.01262461,-0.16325
-10.93,0.01257578,-0.18278
-20.6,0.01257578,-0.19743
-32.69,0.01257578,-0.21696
-44.78,0.01252695,-0.24137
-54.45,0.01252695,-0.26579
-59.29,0.01252695,-0.27555
-61.71,0.01247812,-0.27067
-64.12,0.01247812,-0.25602
-64.12,0.01247812,-0.25602
-68.96,0.01247812,-0.28044
-78.63,0.0124293,-0.3195
-93.14,0.0124293,-0.3488
-105.23,0.01238047,-0.36833
-119.74,0.01238047,-0.38786
-131.83,0.01233164,-0.41716
-146.34,0.01228281,-0.45622
-160.84,0.01228281,-0.48063
-170.52,0.01223398,-0.49528
-180.19,0.01223398,-0.50505
-189.86,0.01218516,-0.52458
-199.53,0.01213633,-0.54899
-211.62,0.01213633,-0.57341
-221.29,0.0120875,-0.58805
-230.96,0.0120875,-0.58805
-240.64,0.01198984,-0.58317
-252.73,0.01198984,-0.6027
-267.23,0.01194102,-0.63688
-279.32,0.01189219,-0.67106
-291.41,0.01184336,-0.68083
-301.09,0.01179453,-0.68571
-308.34,0.0117457,-0.69548
-320.43,0.0117457,-0.72966
-332.52,0.01169687,-0.76872
-344.61,0.01164805,-0.78825
-351.86,0.01159922,-0.77848
-363.95,0.01155039,-0.76872
-376.04,0.01150156,-0.78337
-390.55,0.01145273,-0.82731
-402.64,0.01140391,-0.85661
-412.31,0.01135508,-0.85661
-419.57,0.01130625,-0.85173
-429.24,0.01125742,-0.86149
-443.75,0.01115977,-0.89567
-455.84,0.01115977,-0.93962
-467.93,0.01106211,-0.94938
-477.6,0.01101328,-0.9445
-487.27,0.01096445,-0.93962
-499.36,0.01091562,-0.95427
-511.45,0.0108668,-0.97868
-523.54,0.01076914,-0.99821
-530.79,0.01076914,-0.99333
-538.05,0.01067148,-0.98845
-550.14,0.01062266,-1.00309
-562.23,0.010525,-1.04216
-574.32,0.01047617,-1.07634
-583.99,0.01042734,-1.09587
-593.66,0.01037852,-1.09587
-600.91,0.01028086,-1.0861
-613,0.01023203,-1.10075
-622.68,0.0101832,-1.12516
-632.35,0.01008555,-1.13981
-642.02,0.01003672,-1.1447
-646.85,0.00993906,-1.13493
-649.27,0.00989023,-1.13005
-651.69,0.00984141,-1.13981
-658.94,0.00974375,-1.17399
-671.03,0.00964609,-1.21794
-680.71,0.00959727,-1.257
