Force,Displacement,Velocity
0.83778,-9.73867,1.12093
0.84261,-9.68984,1.12581
0.84745,-9.64102,1.12093
0.85229,-9.59219,1.12581
0.85712,-9.49453,1.15023
0.86438,-9.39688,1.17952
0.86921,-9.34805,1.20882
0.87405,-9.29922,1.21859
0.8813,-9.20156,1.21859
0.88614,-9.10391,1.2137
0.89097,-9.05508,1.22347
0.89581,-8.95742,1.24788
0.90065,-8.90859,1.2723
0.9079,-8.81094,1.28695
0.91515,-8.76211,1.29671
0.91999,-8.66445,1.29671
0.92482,-8.61563,1.29183
0.92966,-8.51797,1.29183
0.93691,-8.42031,1.29671
0.94175,-8.32266,1.30159
0.949,-8.27383,1.31136
0.95384,-8.17617,1.32113
0.95868,-8.07852,1.33577
0.96351,-8.02969,1.3553
0.97077,-7.93203,1.36507
0.97802,-7.83437,1.37972
0.98286,-7.73672,1.39437
0.99011,-7.63906,1.40902
0.99495,-7.54141,1.41878
1.0022,-7.49258,1.43343
1.00945,-7.39492,1.44808
1.01671,-7.34609,1.44808
1.02154,-7.19961,1.4432
1.02396,-7.15078,1.43343
1.03122,-7.05312,1.43831
1.03847,-6.95547,1.45784
1.04572,-6.85781,1.48714
1.05298,-6.76016,1.51155
1.06023,-6.6625,1.52132
1.06507,-6.61367,1.5262
1.0699,-6.51602,1.53109
1.07716,-6.41836,1.54085
1.08441,-6.3207,1.55062
1.09166,-6.22305,1.55062
1.09892,-6.17422,1.55062
1.10375,-6.02773,1.54085
1.11101,-5.93008,1.53109
1.11826,-5.88125,1.53597
1.12552,-5.78359,1.54573
1.13035,-5.63711,1.5555
1.13761,-5.53945,1.56527
1.14486,-5.49062,1.57991
1.1497,-5.34414,1.59945
1.15937,-5.24648,1.61898
1.1642,-5.14883,1.63363
1.17146,-5.05117,1.62386
1.17871,-4.95352,1.61409
1.18597,-4.85586,1.60433
1.19322,-4.7582,1.60433
1.20047,-4.66055,1.61409
1.20773,-4.56289,1.62386
1.21498,-4.46523,1.63851
1.22223,-4.36758,1.65316
1.22707,-4.26992,1.66292
1.23432,-4.17227,1.67269
1.24158,-4.07461,1.67757
1.25125,-3.97695,1.69222
1.2585,-3.8793,1.70198
1.26576,-3.73281,1.70687
1.27059,-3.63516,1.69222
1.27785,-3.5375,1.67757
1.2851,-3.39102,1.67269
1.29236,-3.29336,1.67757
1.30203,-3.24453,1.6971
1.30686,-3.09805,1.71663
1.31412,-3.00039,1.7264
1.32137,-2.90273,1.73128
1.33104,-2.80508,1.73128
1.3383,-2.70742,1.73128
1.34555,-2.60977,1.7264
1.35039,-2.51211,1.71175
1.35764,-2.36562,1.6971
1.36489,-2.26797,1.69222
1.37457,-2.17031,1.71175
1.38182,-2.02383,1.73616
1.38666,-1.92617,1.75081
1.39633,-1.82852,1.74593
1.40358,-1.73086,1.74105
1.41084,-1.6332,1.74105
1.42051,-1.53555,1.74593
1.42776,-1.38906,1.7557
1.43502,-1.29141,1.7557
1.43985,-1.19375,1.75081
1.44711,-1.09609,1.74593
