Force,Displacement,Velocity
252.63,0.01155039,0.77425
252.63,0.01159922,0.76937
255.05,0.01164805,0.76937
255.05,0.01169687,0.74984
252.63,0.0117457,0.71077
250.21,0.01179453,0.67171
247.79,0.01184336,0.65218
250.21,0.01189219,0.6473
247.79,0.01194102,0.6473
245.38,0.01194102,0.63265
240.54,0.01198984,0.60823
238.12,0.01203867,0.5887
238.12,0.0120875,0.57894
240.54,0.0120875,0.57894
238.12,0.01213633,0.57894
235.7,0.01213633,0.55452
233.29,0.01218516,0.51546
230.87,0.01223398,0.48128
228.45,0.01223398,0.46663
228.45,0.01228281,0.46175
228.45,0.01233164,0.43734
226.03,0.01233164,0.40804
223.61,0.01238047,0.38363
221.2,0.01238047,0.37874
221.2,0.0124293,0.38363
221.2,0.0124293,0.37386
218.78,0.01247812,0.35433
216.36,0.01247812,0.32015
213.94,0.01247812,0.30062
213.94,0.01247812,0.28597
213.94,0.01252695,0.26644
211.52,0.01252695,0.23714
206.69,0.01252695,0.20784
204.27,0.01257578,0.1932
204.27,0.01257578,0.18831
201.85,0.01257578,0.18831
201.85,0.01257578,0.17366
197.02,0.01257578,0.14925
192.18,0.01262461,0.12972
189.76,0.01262461,0.11507
184.93,0.01262461,0.11507
184.93,0.01262461,0.1053
180.09,0.01262461,0.08089
175.25,0.01267344,0.04671
168,0.01262461,0.0223
163.16,0.01262461,0.00765
155.91,0.01262461,-0.00212
148.66,0.01267344,-0.01677
138.98,0.01262461,-0.0363
124.48,0.01262461,-0.05095
107.55,0.01262461,-0.06559
88.21,0.01262461,-0.07048
68.86,0.01262461,-0.08024
49.52,0.01262461,-0.09489
32.59,0.01257578,-0.1193
20.5,0.01257578,-0.13884
10.83,0.01257578,-0.16813
6,0.01257578,-0.20231
3.58,0.01257578,-0.23161
1.16,0.01252695,-0.26091
1.16,0.01252695,-0.28044
-1.26,0.01252695,-0.30973
-1.26,0.01247812,-0.33415
-1.26,0.01247812,-0.3488
1.16,0.0124293,-0.3488
-1.26,0.0124293,-0.35368
-3.68,0.01238047,-0.36833
-8.51,0.01238047,-0.39274
-10.93,0.01233164,-0.41227
