Force,Displacement,Velocity
-257.56,-0.00446523,-1.75505
-259.98,-0.00456289,-1.75505
-257.56,-0.00470937,-1.75505
-255.14,-0.00480703,-1.75016
-252.73,-0.00490469,-1.74528
-250.31,-0.00500234,-1.7404
-245.47,-0.0051,-1.73552
-245.47,-0.00519766,-1.73063
-243.05,-0.00529531,-1.71598
-240.64,-0.00539297,-1.70134
-238.22,-0.00549062,-1.6818
-235.8,-0.00563711,-1.66716
-235.8,-0.00573477,-1.66227
-235.8,-0.00583242,-1.65739
-233.38,-0.00593008,-1.65739
-230.96,-0.00602773,-1.65251
-228.55,-0.00612539,-1.65739
-226.13,-0.00627187,-1.65739
-223.71,-0.00636953,-1.65251
-221.29,-0.00641836,-1.64274
-218.87,-0.00651602,-1.62321
-216.46,-0.00661367,-1.60368
-214.04,-0.00671133,-1.58415
-211.62,-0.00680898,-1.5695
-211.62,-0.00690664,-1.56462
-209.2,-0.0070043,-1.54997
-206.78,-0.00710195,-1.5402
-204.37,-0.00719961,-1.53044
-201.95,-0.00729727,-1.53044
-199.53,-0.00739492,-1.53044
-197.11,-0.00744375,-1.53044
-197.11,-0.00754141,-1.51579
-192.28,-0.00763906,-1.49626
-189.86,-0.00773672,-1.47673
-185.02,-0.00783437,-1.46208
-182.61,-0.00793203,-1.45231
-182.61,-0.00798086,-1.43766
-180.19,-0.00807852,-1.41325
-172.93,-0.00817617,-1.38884
-170.52,-0.00827383,-1.37907
-170.52,-0.00837148,-1.37907
-168.1,-0.00842031,-1.37907
-165.68,-0.00851797,-1.3693
-160.84,-0.00861563,-1.35466
-158.43,-0.00866445,-1.34001
-156.01,-0.00876211,-1.33024
-153.59,-0.00885977,-1.32536
-151.17,-0.00890859,-1.31559
-146.34,-0.00900625,-1.29606
-143.92,-0.00910391,-1.27653
-139.08,-0.00915273,-1.26188
-136.66,-0.00925039,-1.25212
-131.83,-0.00929922,-1.23747
-129.41,-0.00939688,-1.21794
-124.57,-0.0094457,-1.19841
-122.16,-0.00954336,-1.18376
-119.74,-0.00959219,-1.17399
-117.32,-0.00968984,-1.16911
-117.32,-0.00973867,-1.16423
