Damper Lab
Wed 16 Sep 2015 - 14/31/31
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
-0.52837	9.59727	-2.71208
-0.55014	9.45078	-2.78532
-0.57432	9.30430	-2.85368
-0.59608	9.10898	-2.91227
-0.62026	8.96250	-2.95622
-0.64444	8.76719	-2.99040
-0.66862	8.57187	-3.02458
-0.69763	8.42539	-3.08317
-0.73148	8.23008	-3.14665
-0.76775	8.03477	-3.19548
-0.80402	7.83945	-3.23942
-0.84513	7.64414	-3.29313
-0.88382	7.44883	-3.34684
-0.92492	7.25352	-3.39567
-0.96361	7.00938	-3.44450
-0.99988	6.81406	-3.49821
-1.03373	6.61875	-3.55680
-1.07000	6.42344	-3.60563
-1.10385	6.17930	-3.64958
-1.13770	5.98398	-3.68376
-1.17155	5.73984	-3.72770
-1.21024	5.54453	-3.78630
-1.24409	5.30039	-3.83024
-1.27794	5.05625	-3.85466
-1.30938	4.86094	-3.85466
-1.34081	4.61680	-3.84977
-1.37225	4.37266	-3.86442
-1.40126	4.12852	-3.88395
-1.42544	3.93320	-3.90348
-1.45204	3.68906	-3.93278
-1.47622	3.39609	-3.97184
-1.50282	3.20078	-4.02067
-1.53183	2.95664	-4.06950
-1.55601	2.71250	-4.09391
-1.57536	2.46836	-4.10368
-1.59228	2.22422	-4.09880
-1.61162	1.98008	-4.07438
-1.62855	1.73594	-4.04020
-1.64548	1.49180	-4.01579
-1.65757	1.24766	-4.01091
-1.66966	1.00352	-4.03044
-1.68175	0.75938	-4.08415
-1.69384	0.51523	-4.13786
-1.70351	0.27109	-4.16716
-1.70834	0.02695	-4.16716
-1.71076	-0.21719	-4.14762
-1.71318	-0.46133	-4.12321
-1.71560	-0.70547	-4.08415
-1.71802	-0.94961	-4.04509
-1.71318	-1.19375	-4.01091
-1.71076	-1.43789	-4.01091
-1.70593	-1.68203	-4.03044
-1.70109	-1.97500	-4.04997
-1.69625	-2.21914	-4.05973
-1.68900	-2.41445	-4.04020
-1.67691	-2.65859	-4.00602
-1.65998	-2.90273	-3.96208
-1.65031	-3.14687	-3.93278
-1.63580	-3.39102	-3.90348
-1.61646	-3.63516	-3.87419
-1.59712	-3.87930	-3.84977
-1.58261	-4.12344	-3.83024
-1.56327	-4.36758	-3.82048
-1.54392	-4.61172	-3.80583
-1.51974	-4.80703	-3.78141
-1.49314	-5.05117	-3.72770
-1.46655	-5.29531	-3.66911
-1.43753	-5.49062	-3.62028
-1.41093	-5.73477	-3.59587
-1.38192	-5.97891	-3.58122
-1.35048	-6.17422	-3.56169
-1.32147	-6.36953	-3.53239
-1.29003	-6.56484	-3.49333
-1.25860	-6.80898	-3.45427
-1.22233	-7.00430	-3.39079
-1.18848	-7.24844	-3.31755
-1.14979	-7.44375	-3.23942
-1.11111	-7.59023	-3.17595
-1.07484	-7.83437	-3.12223
-1.03857	-8.02969	-3.07341
-0.99988	-8.22500	-3.03434
-0.96119	-8.42031	-3.01481
-0.92250	-8.56680	-2.99528
-0.88140	-8.76211	-2.95622
-0.83787	-8.95742	-2.89274
-0.79435	-9.10391	-2.81950
-0.75083	-9.25039	-2.74626
-0.70972	-9.44570	-2.67790
-0.67103	-9.59219	-2.61442
-0.63477	-9.78750	-2.54606
-0.59608	-9.93398	-2.47282
-0.55255	-10.08047	-2.38981
-0.50903	-10.22695	-2.31169
-0.46551	-10.42227	-2.23356
-0.41957	-10.51992	-2.16520
-0.37604	-10.66641	-2.09684
-0.33977	-10.81289	-2.02360
-0.30834	-10.91055	-1.93571
-0.28416	-11.05703	-1.84294
-0.25998	-11.15469	-1.75016
-0.23822	-11.25234	-1.66227
-0.21646	-11.39883	-1.57438
-0.19469	-11.44766	-1.48649
-0.17535	-11.54531	-1.40837
-0.15601	-11.64297	-1.33024
-0.13666	-11.69180	-1.25700
-0.11974	-11.78945	-1.17399
-0.10281	-11.83828	-1.08610
-0.08830	-11.93594	-1.00798
-0.07863	-11.98477	-0.95427
-0.07138	-12.03359	-0.92009
-0.06412	-12.08242	-0.89567
-0.05445	-12.13125	-0.85173
-0.03269	-12.18008	-0.75895
-0.00851	-12.22891	-0.61247
0.01083	-12.27773	-0.45622
0.02534	-12.22891	-0.30973
0.03501	-12.27773	-0.19743
0.04227	-12.27773	-0.09977
0.05194	-12.27773	-0.02165
0.07370	-12.27773	0.06624
0.09304	-12.27773	0.15413
0.11481	-12.22891	0.25667
0.14866	-12.22891	0.35921
0.18976	-12.18008	0.42757
0.21878	-12.13125	0.46175
0.23329	-12.13125	0.53987
0.23329	-12.08242	0.71077
0.22603	-12.03359	0.89632
0.21878	-11.93594	1.04280
0.21394	-11.88711	1.13070
0.21152	-11.83828	1.18929
0.21152	-11.74063	1.24788
0.21394	-11.69180	1.32113
0.22120	-11.59414	1.39925
0.22603	-11.49648	1.46761
0.22845	-11.39883	1.52620
0.23329	-11.30117	1.58968
0.23570	-11.20352	1.67757
0.24296	-11.10586	1.79476
0.24779	-11.00820	1.91683
0.24779	-10.86172	2.00960
0.24538	-10.76406	2.07796
0.24779	-10.61758	2.12191
0.25021	-10.47109	2.17073
0.25263	-10.32461	2.21956
0.25263	-10.17813	2.28304
0.25505	-10.03164	2.34163
0.25988	-9.88516	2.41976
0.26230	-9.73867	2.50277
0.26472	-9.59219	2.58089
0.26714	-9.39688	2.65413
0.26956	-9.25039	2.71273
0.27197	-9.05508	2.77620
0.27197	-8.90859	2.82991
0.27439	-8.71328	2.88851
0.27681	-8.56680	2.95198
0.28165	-8.37148	3.02523
0.28406	-8.17617	3.09359
0.28406	-7.98086	3.15218
0.28648	-7.78555	3.19613
0.29132	-7.59023	3.22542
0.29373	-7.44375	3.25960
0.29373	-7.19961	3.29866
0.29373	-7.00430	3.32796
0.29615	-6.80898	3.35238
0.29857	-6.61367	3.39144
0.30099	-6.36953	3.44515
0.30099	-6.17422	3.50863
0.30341	-5.93008	3.56234
0.30341	-5.73477	3.61605
0.30582	-5.49062	3.67464
0.31066	-5.29531	3.73323
0.31066	-5.05117	3.77718
0.31066	-4.80703	3.79671
0.31308	-4.61172	3.80648
0.31308	-4.36758	3.81136
0.31550	-4.12344	3.83577
0.31791	-3.87930	3.87484
0.32033	-3.68398	3.92366
0.32033	-3.43984	3.94808
0.32033	-3.19570	3.96761
0.32275	-2.95156	3.98714
0.32517	-2.70742	4.01644
0.32517	-2.46328	4.05550
0.32517	-2.21914	4.07991
0.32517	-1.92617	4.07991
0.32759	-1.68203	4.06527
0.32759	-1.43789	4.05550
0.32759	-1.19375	4.05550
0.32759	-0.94961	4.07503
0.33000	-0.65664	4.11409
0.33242	-0.41250	4.15316
0.33242	-0.16836	4.17269
0.33242	0.07578	4.17757
0.33242	0.31992	4.16292
0.33484	0.56406	4.16292
0.33726	0.80820	4.17757
0.33726	1.05234	4.18245
0.33968	1.29648	4.17269
0.33968	1.54063	4.14339
0.33968	1.78477	4.11409
0.33726	2.07773	4.09456
0.33968	2.32188	4.08968
0.33726	2.56602	4.08968
0.33726	2.81016	4.08968
0.33726	3.05430	4.07991
0.33726	3.29844	4.07503
0.33726	3.54258	4.07015
0.33726	3.83555	4.07503
0.33484	4.03086	4.07503
0.33484	4.27500	4.05550
0.33484	4.51914	4.01155
0.33242	4.76328	3.95784
0.33242	5.00742	3.89925
0.33000	5.25156	3.85530
0.33000	5.49570	3.81136
0.33000	5.73984	3.78206
0.32759	5.93516	3.77230
0.32759	6.17930	3.75765
0.32517	6.42344	3.73323
0.32517	6.61875	3.70394
0.32517	6.86289	3.65999
0.32275	7.05820	3.61605
0.32033	7.25352	3.56234
0.32033	7.49766	3.50863
0.31791	7.69297	3.43538
0.31550	7.93711	3.36214
0.31308	8.13242	3.28890
0.31066	8.32773	3.22542
0.31066	8.52305	3.16683
0.30824	8.71836	3.12288
0.30824	8.86484	3.08870
0.30582	9.06016	3.04476
0.30341	9.25547	2.99593
0.30099	9.45078	2.93245
0.30099	9.59727	2.86409
0.29857	9.74375	2.78597
0.29615	9.93906	2.71273
0.29373	10.08555	2.64437
0.29132	10.23203	2.57601
0.28890	10.37852	2.49300
0.28648	10.52500	2.40511
0.28406	10.67148	2.32210
0.28165	10.81797	2.25374
0.28165	10.96445	2.19027
0.27681	11.06211	2.12679
0.27439	11.20859	2.05843
