Damper Lab
Wed 16 Sep 2015 - 14/28/08
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
-0.25514	-4.80703	-1.75016
-0.25273	-4.90469	-1.74528
-0.25031	-5.00234	-1.74040
-0.24547	-5.10000	-1.73552
-0.24547	-5.19766	-1.73063
-0.24305	-5.29531	-1.71598
-0.24064	-5.39297	-1.70134
-0.23822	-5.49062	-1.68180
-0.23580	-5.63711	-1.66716
-0.23580	-5.73477	-1.66227
-0.23580	-5.83242	-1.65739
-0.23338	-5.93008	-1.65739
-0.23096	-6.02773	-1.65251
-0.22855	-6.12539	-1.65739
-0.22613	-6.27187	-1.65739
-0.22371	-6.36953	-1.65251
-0.22129	-6.41836	-1.64274
-0.21887	-6.51602	-1.62321
-0.21646	-6.61367	-1.60368
-0.21404	-6.71133	-1.58415
-0.21162	-6.80898	-1.56950
-0.21162	-6.90664	-1.56462
-0.20920	-7.00430	-1.54997
-0.20678	-7.10195	-1.54020
-0.20437	-7.19961	-1.53044
-0.20195	-7.29727	-1.53044
-0.19953	-7.39492	-1.53044
-0.19711	-7.44375	-1.53044
-0.19711	-7.54141	-1.51579
-0.19228	-7.63906	-1.49626
-0.18986	-7.73672	-1.47673
-0.18502	-7.83437	-1.46208
-0.18261	-7.93203	-1.45231
-0.18261	-7.98086	-1.43766
-0.18019	-8.07852	-1.41325
-0.17293	-8.17617	-1.38884
-0.17052	-8.27383	-1.37907
-0.17052	-8.37148	-1.37907
-0.16810	-8.42031	-1.37907
-0.16568	-8.51797	-1.36930
-0.16084	-8.61563	-1.35466
-0.15843	-8.66445	-1.34001
-0.15601	-8.76211	-1.33024
-0.15359	-8.85977	-1.32536
-0.15117	-8.90859	-1.31559
-0.14634	-9.00625	-1.29606
-0.14392	-9.10391	-1.27653
-0.13908	-9.15273	-1.26188
-0.13666	-9.25039	-1.25212
-0.13183	-9.29922	-1.23747
-0.12941	-9.39688	-1.21794
-0.12457	-9.44570	-1.19841
-0.12216	-9.54336	-1.18376
-0.11974	-9.59219	-1.17399
-0.11732	-9.68984	-1.16911
-0.11732	-9.73867	-1.16423
-0.11248	-9.83633	-1.14958
-0.11007	-9.88516	-1.12516
-0.10523	-9.93398	-1.10563
-0.10281	-10.03164	-1.08610
-0.10039	-10.08047	-1.07145
-0.09798	-10.12930	-1.04704
-0.09556	-10.22695	-1.02262
-0.09072	-10.27578	-1.00798
-0.08830	-10.32461	-1.00309
-0.08589	-10.37344	-0.99821
-0.08347	-10.47109	-0.98845
-0.07863	-10.51992	-0.96891
-0.07863	-10.56875	-0.95915
-0.07621	-10.66641	-0.94450
-0.07380	-10.71523	-0.92985
-0.06896	-10.76406	-0.91520
-0.06654	-10.81289	-0.89079
-0.06654	-10.86172	-0.86149
-0.06412	-10.91055	-0.84196
-0.06171	-11.00820	-0.82243
-0.05687	-11.00820	-0.81266
-0.05687	-11.05703	-0.80290
-0.05687	-11.10586	-0.79802
-0.05445	-11.15469	-0.79313
-0.05445	-11.20352	-0.78825
-0.05203	-11.25234	-0.79313
-0.05203	-11.30117	-0.80290
-0.05203	-11.35000	-0.80290
-0.05203	-11.39883	-0.79313
-0.04962	-11.44766	-0.78337
-0.04962	-11.49648	-0.76384
-0.04962	-11.54531	-0.75407
-0.04720	-11.59414	-0.72966
-0.03994	-11.59414	-0.68571
-0.03027	-11.64297	-0.62712
-0.02302	-11.74063	-0.57341
-0.01818	-11.74063	-0.53434
-0.01577	-11.78945	-0.51481
-0.01335	-11.78945	-0.50505
-0.01093	-11.83828	-0.49528
-0.00609	-11.88711	-0.47575
-0.00609	-11.88711	-0.46110
-0.00368	-11.88711	-0.44645
-0.00368	-11.93594	-0.43669
-0.00126	-11.93594	-0.42204
-0.00126	-11.98477	-0.39274
0.00116	-12.03359	-0.36345
0.00600	-12.03359	-0.33903
0.00841	-12.03359	-0.31462
0.01083	-12.08242	-0.29020
0.01325	-12.08242	-0.27067
0.01567	-12.13125	-0.25602
0.01567	-12.13125	-0.24626
0.01809	-12.13125	-0.25114
0.01809	-12.18008	-0.25602
0.01809	-12.18008	-0.25602
0.02050	-12.18008	-0.24137
0.02292	-12.18008	-0.21208
0.02534	-12.22891	-0.18278
0.02776	-12.22891	-0.15837
0.02776	-12.22891	-0.13884
0.02776	-12.22891	-0.10466
0.03018	-12.22891	-0.07536
0.03259	-12.22891	-0.05095
0.03501	-12.27773	-0.03630
0.03743	-12.27773	-0.02653
0.03985	-12.27773	-0.02165
0.04227	-12.27773	-0.01188
0.04710	-12.27773	0.00765
0.05436	-12.27773	0.02230
0.06161	-12.22891	0.03206
0.07128	-12.22891	0.03695
0.07854	-12.22891	0.05159
0.08821	-12.27773	0.08089
0.09788	-12.22891	0.11995
0.10272	-12.22891	0.14925
0.10755	-12.22891	0.16878
0.11722	-12.22891	0.17855
0.13657	-12.22891	0.18831
0.16075	-12.18008	0.17855
0.18734	-12.18008	0.17366
0.20427	-12.18008	0.16390
0.20911	-12.18008	0.18343
0.20669	-12.13125	0.23226
0.19943	-12.13125	0.28597
0.19218	-12.13125	0.32991
0.18734	-12.08242	0.34945
0.18251	-12.08242	0.35921
0.18251	-12.03359	0.37386
0.18493	-11.98477	0.40316
0.18493	-11.98477	0.42757
0.18493	-11.93594	0.43734
0.18251	-11.93594	0.44222
0.18251	-11.88711	0.44710
0.18251	-11.88711	0.46663
0.18251	-11.83828	0.50570
0.18493	-11.83828	0.54476
0.18493	-11.78945	0.56429
0.18251	-11.74063	0.56917
0.18493	-11.74063	0.56917
0.18493	-11.69180	0.56917
0.18493	-11.64297	0.57894
0.18493	-11.59414	0.58870
0.18734	-11.54531	0.60335
0.18734	-11.49648	0.62777
0.18976	-11.49648	0.66195
0.19218	-11.44766	0.69124
0.19218	-11.39883	0.72054
0.19460	-11.35000	0.73519
0.19460	-11.35000	0.74007
0.19218	-11.25234	0.74007
0.19218	-11.20352	0.73519
0.19460	-11.15469	0.74007
0.19460	-11.15469	0.75960
0.19702	-11.05703	0.79378
0.19702	-11.00820	0.81331
0.19943	-11.00820	0.83284
0.19943	-10.91055	0.85726
0.19943	-10.86172	0.88167
0.20185	-10.81289	0.90120
0.20185	-10.76406	0.91097
0.20185	-10.71523	0.91097
0.20185	-10.66641	0.91097
0.20185	-10.56875	0.92073
0.20427	-10.51992	0.94515
0.20427	-10.47109	0.97445
0.20669	-10.42227	1.00374
0.20427	-10.32461	1.02327
0.20669	-10.27578	1.04280
0.20669	-10.22695	1.05745
0.20911	-10.12930	1.07698
0.20911	-10.08047	1.09652
0.20911	-10.03164	1.10140
0.20911	-9.98281	1.10140
0.20911	-9.88516	1.09652
0.21152	-9.83633	1.11116
0.21152	-9.73867	1.13070
0.21152	-9.68984	1.15023
0.21152	-9.59219	1.15999
0.21394	-9.49453	1.15999
0.21394	-9.44570	1.17464
0.21394	-9.39688	1.19417
0.21394	-9.29922	1.21859
0.21394	-9.25039	1.23812
0.21636	-9.15273	1.24788
0.21636	-9.10391	1.25765
0.21636	-9.00625	1.26741
0.21878	-8.95742	1.28695
0.21878	-8.85977	1.29671
0.22120	-8.76211	1.30648
0.21878	-8.71328	1.30159
0.21878	-8.61563	1.30648
0.21878	-8.51797	1.31624
0.22120	-8.46914	1.34066
0.22120	-8.37148	1.36507
0.22120	-8.27383	1.38460
0.22120	-8.17617	1.39437
0.22120	-8.07852	1.39925
0.22361	-8.02969	1.41390
0.22603	-7.93203	1.43831
0.22361	-7.83437	1.45784
0.22361	-7.78555	1.46273
0.22361	-7.68789	1.44808
0.22603	-7.59023	1.45296
0.22603	-7.49258	1.47738
0.22603	-7.39492	1.50667
0.22845	-7.29727	1.51155
0.22845	-7.24844	1.50667
0.22603	-7.15078	1.50667
0.22845	-7.05312	1.52132
0.22845	-6.95547	1.54085
0.22845	-6.85781	1.56038
0.22845	-6.76016	1.56038
0.23087	-6.66250	1.55550
0.22845	-6.56484	1.55550
0.23087	-6.46719	1.57015
0.23329	-6.36953	1.59456
0.23329	-6.27187	1.60921
0.23329	-6.17422	1.60921
0.23329	-6.07656	1.60433
0.23329	-5.97891	1.61409
0.23329	-5.88125	1.64339
0.23570	-5.78359	1.67269
0.23329	-5.68594	1.69222
