Damper Lab
Wed 16 Sep 2015 - 14/30/29
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
0.28406	9.25547	1.34066
0.28406	9.30430	1.32113
0.28165	9.35312	1.28695
0.28165	9.45078	1.26741
0.28165	9.54844	1.26253
0.28165	9.59727	1.26253
0.28165	9.69492	1.25277
0.27923	9.74375	1.22835
0.27681	9.84141	1.19905
0.27681	9.93906	1.18441
0.27681	9.98789	1.18441
0.27681	10.03672	1.18929
0.27439	10.08555	1.17952
0.27439	10.18320	1.15023
0.27197	10.28086	1.11605
0.27197	10.32969	1.10628
0.27197	10.37852	1.10628
0.27197	10.47617	1.10628
0.26956	10.52500	1.08187
0.26956	10.57383	1.04769
0.26714	10.67148	1.01839
0.26714	10.72031	1.01839
0.26714	10.76914	1.02327
0.26714	10.81797	1.01839
0.26472	10.86680	0.99886
0.26230	10.96445	0.96956
0.25988	11.01328	0.95003
0.26230	11.06211	0.94515
0.26230	11.11094	0.94515
0.26230	11.15977	0.92562
0.25747	11.20859	0.89144
0.25505	11.25742	0.85237
0.25747	11.30625	0.83773
0.25988	11.40391	0.84749
0.25747	11.40391	0.85237
0.25505	11.50156	0.83284
0.25263	11.55039	0.79378
0.25263	11.55039	0.77425
0.25263	11.59922	0.76937
0.25505	11.64805	0.76937
0.25505	11.69687	0.74984
0.25263	11.74570	0.71077
0.25021	11.79453	0.67171
0.24779	11.84336	0.65218
0.25021	11.89219	0.64730
0.24779	11.94102	0.64730
0.24538	11.94102	0.63265
0.24054	11.98984	0.60823
0.23812	12.03867	0.58870
0.23812	12.08750	0.57894
0.24054	12.08750	0.57894
0.23812	12.13633	0.57894
0.23570	12.13633	0.55452
0.23329	12.18516	0.51546
0.23087	12.23398	0.48128
0.22845	12.23398	0.46663
0.22845	12.28281	0.46175
0.22845	12.33164	0.43734
0.22603	12.33164	0.40804
0.22361	12.38047	0.38363
0.22120	12.38047	0.37874
0.22120	12.42930	0.38363
0.22120	12.42930	0.37386
0.21878	12.47812	0.35433
0.21636	12.47812	0.32015
0.21394	12.47812	0.30062
0.21394	12.47812	0.28597
